episode,brief,trigger,action,reward
93,morning-metrics,scheduleTrigger,httpRequest,0.5
94,email-archiver,rssFeedTrigger,readWriteFile,0.5
95,rss-alert,rssFeedTrigger,slack,1.0
96,form-to-endpoint,webhook,httpRequest,1.0
97,morning-metrics,emailReadImap,googleSheets,0.5
98,email-archiver,emailReadImap,readWriteFile,1.0
99,rss-alert,rssFeedTrigger,slack,1.0
100,form-to-endpoint,webhook,httpRequest,1.0
101,morning-metrics,scheduleTrigger,googleSheets,1.0
102,email-archiver,emailReadImap,readWriteFile,1.0
103,rss-alert,rssFeedTrigger,slack,1.0
104,form-to-endpoint,webhook,httpRequest,1.0
105,morning-metrics,scheduleTrigger,googleSheets,1.0
106,email-archiver,emailReadImap,readWriteFile,1.0
107,rss-alert,rssFeedTrigger,slack,1.0
108,form-to-endpoint,webhook,slack,0.5
109,morning-metrics,scheduleTrigger,googleSheets,1.0
110,email-archiver,emailReadImap,readWriteFile,1.0
111,rss-alert,webhook,readWriteFile,0.0
112,form-to-endpoint,webhook,httpRequest,1.0
113,morning-metrics,webhook,googleSheets,0.5
114,email-archiver,emailReadImap,readWriteFile,1.0
115,rss-alert,rssFeedTrigger,slack,1.0
116,form-to-endpoint,emailReadImap,httpRequest,0.5
117,morning-metrics,scheduleTrigger,googleSheets,1.0
118,email-archiver,emailReadImap,readWriteFile,1.0
119,rss-alert,emailReadImap,slack,0.5
120,form-to-endpoint,webhook,httpRequest,1.0
121,morning-metrics,scheduleTrigger,googleSheets,1.0
122,email-archiver,emailReadImap,readWriteFile,1.0
123,rss-alert,rssFeedTrigger,slack,1.0
124,form-to-endpoint,webhook,httpRequest,1.0
125,morning-metrics,scheduleTrigger,googleSheets,1.0
126,email-archiver,emailReadImap,readWriteFile,1.0
127,rss-alert,rssFeedTrigger,slack,1.0
128,form-to-endpoint,webhook,httpRequest,1.0
129,morning-metrics,scheduleTrigger,googleSheets,1.0
130,email-archiver,emailReadImap,readWriteFile,1.0
131,rss-alert,rssFeedTrigger,slack,1.0
132,form-to-endpoint,webhook,readWriteFile,0.5
133,morning-metrics,scheduleTrigger,googleSheets,1.0
134,email-archiver,emailReadImap,readWriteFile,1.0
135,rss-alert,rssFeedTrigger,slack,1.0
136,form-to-endpoint,webhook,httpRequest,1.0
137,morning-metrics,scheduleTrigger,googleSheets,1.0
138,email-archiver,emailReadImap,readWriteFile,1.0
139,rss-alert,rssFeedTrigger,slack,1.0
140,form-to-endpoint,webhook,httpRequest,1.0
141,morning-metrics,scheduleTrigger,googleSheets,1.0
142,email-archiver,emailReadImap,readWriteFile,1.0
143,rss-alert,rssFeedTrigger,slack,1.0
144,form-to-endpoint,webhook,httpRequest,1.0
145,morning-metrics,scheduleTrigger,googleSheets,1.0
146,email-archiver,scheduleTrigger,readWriteFile,0.5
147,rss-alert,rssFeedTrigger,slack,1.0
148,form-to-endpoint,webhook,httpRequest,1.0
149,morning-metrics,scheduleTrigger,googleSheets,1.0
150,email-archiver,webhook,slack,0.0
151,rss-alert,rssFeedTrigger,slack,1.0
152,form-to-endpoint,webhook,httpRequest,1.0
153,morning-metrics,scheduleTrigger,googleSheets,1.0
154,email-archiver,emailReadImap,readWriteFile,1.0
155,rss-alert,rssFeedTrigger,slack,1.0
156,form-to-endpoint,emailReadImap,httpRequest,0.5
157,morning-metrics,scheduleTrigger,googleSheets,1.0
158,email-archiver,emailReadImap,readWriteFile,1.0
159,rss-alert,emailReadImap,slack,0.5
160,form-to-endpoint,webhook,httpRequest,1.0
161,morning-metrics,scheduleTrigger,slack,0.5
162,email-archiver,emailReadImap,readWriteFile,1.0
163,rss-alert,rssFeedTrigger,slack,1.0
164,form-to-endpoint,webhook,httpRequest,1.0
165,morning-metrics,scheduleTrigger,googleSheets,1.0
166,email-archiver,emailReadImap,readWriteFile,1.0
167,rss-alert,rssFeedTrigger,slack,1.0
168,form-to-endpoint,webhook,httpRequest,1.0
169,morning-metrics,scheduleTrigger,slack,0.5
170,email-archiver,emailReadImap,readWriteFile,1.0
171,rss-alert,rssFeedTrigger,slack,1.0
172,form-to-endpoint,webhook,httpRequest,1.0
173,morning-metrics,scheduleTrigger,googleSheets,1.0
174,email-archiver,emailReadImap,readWriteFile,1.0
175,rss-alert,rssFeedTrigger,slack,1.0
176,form-to-endpoint,webhook,httpRequest,1.0
177,morning-metrics,emailReadImap,googleSheets,0.5
178,email-archiver,emailReadImap,slack,0.5
179,rss-alert,rssFeedTrigger,slack,1.0
180,form-to-endpoint,webhook,httpRequest,1.0
181,morning-metrics,scheduleTrigger,googleSheets,1.0
182,email-archiver,emailReadImap,readWriteFile,1.0
183,rss-alert,rssFeedTrigger,slack,1.0
184,form-to-endpoint,webhook,httpRequest,1.0
185,morning-metrics,scheduleTrigger,googleSheets,1.0
186,email-archiver,emailReadImap,slack,0.5
187,rss-alert,rssFeedTrigger,slack,1.0
188,form-to-endpoint,webhook,httpRequest,1.0
189,morning-metrics,scheduleTrigger,googleSheets,1.0
190,email-archiver,emailReadImap,readWriteFile,1.0
191,rss-alert,rssFeedTrigger,slack,1.0
192,form-to-endpoint,webhook,httpRequest,1.0
193,morning-metrics,scheduleTrigger,googleSheets,1.0
194,email-archiver,rssFeedTrigger,httpRequest,0.0
195,rss-alert,rssFeedTrigger,slack,1.0
196,form-to-endpoint,webhook,httpRequest,1.0
197,morning-metrics,scheduleTrigger,googleSheets,1.0
198,email-archiver,rssFeedTrigger,readWriteFile,0.5
199,rss-alert,rssFeedTrigger,slack,1.0
200,form-to-endpoint,webhook,httpRequest,1.0
201,morning-metrics,scheduleTrigger,googleSheets,1.0
202,email-archiver,emailReadImap,readWriteFile,1.0
203,rss-alert,rssFeedTrigger,slack,1.0
204,form-to-endpoint,webhook,httpRequest,1.0
205,morning-metrics,scheduleTrigger,googleSheets,1.0
206,email-archiver,emailReadImap,readWriteFile,1.0
207,rss-alert,emailReadImap,slack,0.5
208,form-to-endpoint,webhook,httpRequest,1.0
209,morning-metrics,scheduleTrigger,googleSheets,1.0
210,email-archiver,emailReadImap,readWriteFile,1.0
211,rss-alert,rssFeedTrigger,slack,1.0
212,form-to-endpoint,webhook,httpRequest,1.0
213,morning-metrics,scheduleTrigger,googleSheets,1.0
214,email-archiver,emailReadImap,readWriteFile,1.0
215,rss-alert,rssFeedTrigger,slack,1.0
216,form-to-endpoint,webhook,httpRequest,1.0
217,morning-metrics,scheduleTrigger,googleSheets,1.0
218,email-archiver,emailReadImap,readWriteFile,1.0
219,rss-alert,rssFeedTrigger,slack,1.0
220,form-to-endpoint,scheduleTrigger,httpRequest,0.5
221,morning-metrics,scheduleTrigger,readWriteFile,0.5
222,email-archiver,emailReadImap,readWriteFile,1.0
223,rss-alert,emailReadImap,slack,0.5
224,form-to-endpoint,webhook,httpRequest,1.0
225,morning-metrics,scheduleTrigger,googleSheets,1.0
226,email-archiver,emailReadImap,readWriteFile,1.0
227,rss-alert,rssFeedTrigger,slack,1.0
228,form-to-endpoint,webhook,httpRequest,1.0
229,morning-metrics,scheduleTrigger,googleSheets,1.0
230,email-archiver,emailReadImap,readWriteFile,1.0
231,rss-alert,rssFeedTrigger,slack,1.0
232,form-to-endpoint,webhook,httpRequest,1.0
233,morning-metrics,scheduleTrigger,readWriteFile,0.5
234,email-archiver,emailReadImap,readWriteFile,1.0
235,rss-alert,rssFeedTrigger,slack,1.0
236,form-to-endpoint,webhook,httpRequest,1.0
237,morning-metrics,scheduleTrigger,googleSheets,1.0
238,email-archiver,emailReadImap,readWriteFile,1.0
239,rss-alert,rssFeedTrigger,httpRequest,0.5
240,form-to-endpoint,webhook,httpRequest,1.0
241,morning-metrics,emailReadImap,googleSheets,0.5
242,email-archiver,emailReadImap,readWriteFile,1.0
243,rss-alert,rssFeedTrigger,slack,1.0
244,form-to-endpoint,webhook,httpRequest,1.0
245,morning-metrics,scheduleTrigger,googleSheets,1.0
246,email-archiver,emailReadImap,readWriteFile,1.0
247,rss-alert,rssFeedTrigger,slack,1.0
248,form-to-endpoint,webhook,httpRequest,1.0
249,morning-metrics,scheduleTrigger,googleSheets,1.0
250,email-archiver,emailReadImap,readWriteFile,1.0
251,rss-alert,rssFeedTrigger,googleSheets,0.5
252,form-to-endpoint,rssFeedTrigger,httpRequest,0.5
253,morning-metrics,scheduleTrigger,googleSheets,1.0
254,email-archiver,emailReadImap,readWriteFile,1.0
255,rss-alert,rssFeedTrigger,slack,1.0
256,form-to-endpoint,webhook,httpRequest,1.0
257,morning-metrics,scheduleTrigger,googleSheets,1.0
258,email-archiver,emailReadImap,readWriteFile,1.0
259,rss-alert,rssFeedTrigger,slack,1.0
260,form-to-endpoint,webhook,httpRequest,1.0
261,morning-metrics,scheduleTrigger,googleSheets,1.0
262,email-archiver,emailReadImap,readWriteFile,1.0
263,rss-alert,rssFeedTrigger,httpRequest,0.5
264,form-to-endpoint,webhook,httpRequest,1.0
265,morning-metrics,scheduleTrigger,googleSheets,1.0
266,email-archiver,emailReadImap,readWriteFile,1.0
267,rss-alert,rssFeedTrigger,slack,1.0
268,form-to-endpoint,webhook,httpRequest,1.0
269,morning-metrics,webhook,googleSheets,0.5
270,email-archiver,emailReadImap,readWriteFile,1.0
271,rss-alert,rssFeedTrigger,slack,1.0
272,form-to-endpoint,webhook,httpRequest,1.0
273,morning-metrics,scheduleTrigger,googleSheets,1.0
274,email-archiver,emailReadImap,readWriteFile,1.0
275,rss-alert,rssFeedTrigger,slack,1.0
276,form-to-endpoint,webhook,googleSheets,0.5
277,morning-metrics,scheduleTrigger,googleSheets,1.0
278,email-archiver,rssFeedTrigger,readWriteFile,0.5
279,rss-alert,rssFeedTrigger,slack,1.0
280,form-to-endpoint,webhook,httpRequest,1.0
281,morning-metrics,scheduleTrigger,googleSheets,1.0
282,email-archiver,emailReadImap,readWriteFile,1.0
283,rss-alert,rssFeedTrigger,slack,1.0
284,form-to-endpoint,webhook,httpRequest,1.0
285,morning-metrics,scheduleTrigger,googleSheets,1.0
286,email-archiver,emailReadImap,readWriteFile,1.0
287,rss-alert,rssFeedTrigger,slack,1.0
288,form-to-endpoint,webhook,httpRequest,1.0
289,morning-metrics,scheduleTrigger,googleSheets,1.0
290,email-archiver,emailReadImap,readWriteFile,1.0
291,rss-alert,emailReadImap,httpRequest,0.0
292,form-to-endpoint,webhook,httpRequest,1.0
293,morning-metrics,scheduleTrigger,readWriteFile,0.5
294,email-archiver,emailReadImap,readWriteFile,1.0
295,rss-alert,rssFeedTrigger,slack,1.0
296,form-to-endpoint,webhook,httpRequest,1.0
297,morning-metrics,scheduleTrigger,googleSheets,1.0
298,email-archiver,emailReadImap,readWriteFile,1.0
299,rss-alert,rssFeedTrigger,slack,1.0
300,form-to-endpoint,webhook,httpRequest,1.0
301,morning-metrics,scheduleTrigger,googleSheets,1.0
302,email-archiver,scheduleTrigger,readWriteFile,0.5
303,rss-alert,rssFeedTrigger,slack,1.0
304,form-to-endpoint,webhook,httpRequest,1.0
305,morning-metrics,scheduleTrigger,googleSheets,1.0
306,email-archiver,emailReadImap,readWriteFile,1.0
307,rss-alert,rssFeedTrigger,slack,1.0
308,form-to-endpoint,rssFeedTrigger,httpRequest,0.5
309,morning-metrics,scheduleTrigger,googleSheets,1.0
310,email-archiver,emailReadImap,readWriteFile,1.0
311,rss-alert,rssFeedTrigger,slack,1.0
312,form-to-endpoint,webhook,httpRequest,1.0
313,morning-metrics,scheduleTrigger,googleSheets,1.0
314,email-archiver,emailReadImap,readWriteFile,1.0
315,rss-alert,rssFeedTrigger,slack,1.0
316,form-to-endpoint,webhook,httpRequest,1.0
317,morning-metrics,scheduleTrigger,googleSheets,1.0
318,email-archiver,emailReadImap,readWriteFile,1.0
319,rss-alert,rssFeedTrigger,readWriteFile,0.5
320,form-to-endpoint,webhook,httpRequest,1.0
321,morning-metrics,scheduleTrigger,googleSheets,1.0
322,email-archiver,emailReadImap,slack,0.5
323,rss-alert,rssFeedTrigger,httpRequest,0.5
324,form-to-endpoint,webhook,httpRequest,1.0
325,morning-metrics,scheduleTrigger,googleSheets,1.0
326,email-archiver,emailReadImap,readWriteFile,1.0
327,rss-alert,rssFeedTrigger,googleSheets,0.5
328,form-to-endpoint,webhook,httpRequest,1.0
329,morning-metrics,scheduleTrigger,googleSheets,1.0
330,email-archiver,emailReadImap,readWriteFile,1.0
331,rss-alert,rssFeedTrigger,slack,1.0
332,form-to-endpoint,webhook,httpRequest,1.0
333,morning-metrics,webhook,googleSheets,0.5
334,email-archiver,emailReadImap,readWriteFile,1.0
335,rss-alert,rssFeedTrigger,slack,1.0
336,form-to-endpoint,webhook,httpRequest,1.0
337,morning-metrics,scheduleTrigger,googleSheets,1.0
338,email-archiver,emailReadImap,readWriteFile,1.0
339,rss-alert,rssFeedTrigger,slack,1.0
340,form-to-endpoint,webhook,httpRequest,1.0
341,morning-metrics,scheduleTrigger,googleSheets,1.0
342,email-archiver,emailReadImap,readWriteFile,1.0
343,rss-alert,rssFeedTrigger,slack,1.0
344,form-to-endpoint,webhook,httpRequest,1.0
345,morning-metrics,scheduleTrigger,googleSheets,1.0
346,email-archiver,emailReadImap,readWriteFile,1.0
347,rss-alert,rssFeedTrigger,slack,1.0
348,form-to-endpoint,webhook,httpRequest,1.0
349,morning-metrics,rssFeedTrigger,googleSheets,0.5
350,email-archiver,emailReadImap,readWriteFile,1.0
351,rss-alert,rssFeedTrigger,slack,1.0
352,form-to-endpoint,webhook,httpRequest,1.0
353,morning-metrics,scheduleTrigger,googleSheets,1.0
354,email-archiver,emailReadImap,readWriteFile,1.0
355,rss-alert,rssFeedTrigger,slack,1.0
356,form-to-endpoint,webhook,httpRequest,1.0
357,morning-metrics,scheduleTrigger,googleSheets,1.0
358,email-archiver,emailReadImap,readWriteFile,1.0
359,rss-alert,rssFeedTrigger,googleSheets,0.5
360,form-to-endpoint,webhook,httpRequest,1.0
361,morning-metrics,scheduleTrigger,googleSheets,1.0
362,email-archiver,emailReadImap,readWriteFile,1.0
363,rss-alert,rssFeedTrigger,slack,1.0
364,form-to-endpoint,webhook,googleSheets,0.5
365,morning-metrics,webhook,googleSheets,0.5
366,email-archiver,emailReadImap,readWriteFile,1.0
367,rss-alert,rssFeedTrigger,slack,1.0
368,form-to-endpoint,rssFeedTrigger,httpRequest,0.5
369,morning-metrics,scheduleTrigger,googleSheets,1.0
370,email-archiver,emailReadImap,readWriteFile,1.0
371,rss-alert,rssFeedTrigger,slack,1.0
372,form-to-endpoint,webhook,httpRequest,1.0
373,morning-metrics,scheduleTrigger,googleSheets,1.0
374,email-archiver,emailReadImap,readWriteFile,1.0
375,rss-alert,rssFeedTrigger,slack,1.0
376,form-to-endpoint,webhook,httpRequest,1.0
377,morning-metrics,scheduleTrigger,readWriteFile,0.5
378,email-archiver,emailReadImap,readWriteFile,1.0
379,rss-alert,rssFeedTrigger,slack,1.0
380,form-to-endpoint,webhook,httpRequest,1.0
381,morning-metrics,scheduleTrigger,googleSheets,1.0
382,email-archiver,emailReadImap,readWriteFile,1.0
383,rss-alert,rssFeedTrigger,slack,1.0
384,form-to-endpoint,webhook,httpRequest,1.0
385,morning-metrics,scheduleTrigger,googleSheets,1.0
386,email-archiver,emailReadImap,readWriteFile,1.0
387,rss-alert,rssFeedTrigger,slack,1.0
388,form-to-endpoint,webhook,httpRequest,1.0
389,morning-metrics,scheduleTrigger,googleSheets,1.0
390,email-archiver,emailReadImap,readWriteFile,1.0
391,rss-alert,rssFeedTrigger,slack,1.0
392,form-to-endpoint,webhook,httpRequest,1.0
393,morning-metrics,scheduleTrigger,slack,0.5
394,email-archiver,emailReadImap,readWriteFile,1.0
395,rss-alert,rssFeedTrigger,slack,1.0
396,form-to-endpoint,webhook,httpRequest,1.0
397,morning-metrics,scheduleTrigger,googleSheets,1.0
398,email-archiver,emailReadImap,readWriteFile,1.0
399,rss-alert,rssFeedTrigger,slack,1.0
400,form-to-endpoint,webhook,googleSheets,0.5
401,morning-metrics,scheduleTrigger,readWriteFile,0.5
402,email-archiver,emailReadImap,readWriteFile,1.0
403,rss-alert,webhook,slack,0.5
404,form-to-endpoint,webhook,httpRequest,1.0
405,morning-metrics,rssFeedTrigger,googleSheets,0.5
406,email-archiver,emailReadImap,readWriteFile,1.0
407,rss-alert,rssFeedTrigger,slack,1.0
408,form-to-endpoint,webhook,httpRequest,1.0
409,morning-metrics,scheduleTrigger,googleSheets,1.0
410,email-archiver,emailReadImap,readWriteFile,1.0
411,rss-alert,rssFeedTrigger,slack,1.0
412,form-to-endpoint,rssFeedTrigger,httpRequest,0.5
413,morning-metrics,scheduleTrigger,googleSheets,1.0
414,email-archiver,rssFeedTrigger,readWriteFile,0.5
415,rss-alert,rssFeedTrigger,slack,1.0
416,form-to-endpoint,webhook,slack,0.5
417,morning-metrics,scheduleTrigger,googleSheets,1.0
418,email-archiver,emailReadImap,readWriteFile,1.0
419,rss-alert,rssFeedTrigger,googleSheets,0.5
420,form-to-endpoint,webhook,httpRequest,1.0
421,morning-metrics,scheduleTrigger,googleSheets,1.0
422,email-archiver,emailReadImap,readWriteFile,1.0
423,rss-alert,rssFeedTrigger,slack,1.0
424,form-to-endpoint,webhook,httpRequest,1.0
425,morning-metrics,scheduleTrigger,googleSheets,1.0
426,email-archiver,emailReadImap,readWriteFile,1.0
427,rss-alert,rssFeedTrigger,slack,1.0
428,form-to-endpoint,webhook,httpRequest,1.0
429,morning-metrics,scheduleTrigger,googleSheets,1.0
430,email-archiver,emailReadImap,readWriteFile,1.0
431,rss-alert,rssFeedTrigger,slack,1.0
432,form-to-endpoint,webhook,httpRequest,1.0
433,morning-metrics,scheduleTrigger,googleSheets,1.0
434,email-archiver,emailReadImap,readWriteFile,1.0
435,rss-alert,rssFeedTrigger,slack,1.0
436,form-to-endpoint,webhook,httpRequest,1.0
437,morning-metrics,scheduleTrigger,googleSheets,1.0
438,email-archiver,emailReadImap,readWriteFile,1.0
439,rss-alert,rssFeedTrigger,slack,1.0
440,form-to-endpoint,webhook,httpRequest,1.0
441,morning-metrics,scheduleTrigger,googleSheets,1.0
442,email-archiver,emailReadImap,readWriteFile,1.0
443,rss-alert,rssFeedTrigger,slack,1.0
444,form-to-endpoint,webhook,httpRequest,1.0
445,morning-metrics,scheduleTrigger,googleSheets,1.0
446,email-archiver,emailReadImap,readWriteFile,1.0
447,rss-alert,rssFeedTrigger,slack,1.0
448,form-to-endpoint,webhook,httpRequest,1.0
449,morning-metrics,scheduleTrigger,googleSheets,1.0
450,email-archiver,emailReadImap,readWriteFile,1.0
451,rss-alert,rssFeedTrigger,slack,1.0
452,form-to-endpoint,webhook,httpRequest,1.0
453,morning-metrics,scheduleTrigger,googleSheets,1.0
454,email-archiver,emailReadImap,readWriteFile,1.0
455,rss-alert,rssFeedTrigger,slack,1.0
456,form-to-endpoint,scheduleTrigger,httpRequest,0.5
457,morning-metrics,scheduleTrigger,googleSheets,1.0
458,email-archiver,emailReadImap,httpRequest,0.5
459,rss-alert,rssFeedTrigger,slack,1.0
460,form-to-endpoint,webhook,httpRequest,1.0
461,morning-metrics,scheduleTrigger,googleSheets,1.0
462,email-archiver,emailReadImap,readWriteFile,1.0
463,rss-alert,rssFeedTrigger,slack,1.0
464,form-to-endpoint,webhook,httpRequest,1.0
465,morning-metrics,scheduleTrigger,googleSheets,1.0
466,email-archiver,emailReadImap,readWriteFile,1.0
467,rss-alert,rssFeedTrigger,slack,1.0
468,form-to-endpoint,webhook,httpRequest,1.0
469,morning-metrics,scheduleTrigger,googleSheets,1.0
470,email-archiver,emailReadImap,readWriteFile,1.0
471,rss-alert,emailReadImap,slack,0.5
472,form-to-endpoint,webhook,httpRequest,1.0
473,morning-metrics,scheduleTrigger,googleSheets,1.0
474,email-archiver,emailReadImap,readWriteFile,1.0
475,rss-alert,rssFeedTrigger,slack,1.0
476,form-to-endpoint,webhook,httpRequest,1.0
477,morning-metrics,scheduleTrigger,googleSheets,1.0
478,email-archiver,emailReadImap,readWriteFile,1.0
479,rss-alert,rssFeedTrigger,slack,1.0
480,form-to-endpoint,webhook,httpRequest,1.0
481,morning-metrics,scheduleTrigger,googleSheets,1.0
482,email-archiver,emailReadImap,readWriteFile,1.0
483,rss-alert,rssFeedTrigger,httpRequest,0.5
484,form-to-endpoint,webhook,httpRequest,1.0
485,morning-metrics,scheduleTrigger,googleSheets,1.0
486,email-archiver,emailReadImap,httpRequest,0.5
487,rss-alert,rssFeedTrigger,slack,1.0
488,form-to-endpoint,webhook,httpRequest,1.0
489,morning-metrics,scheduleTrigger,googleSheets,1.0
490,email-archiver,emailReadImap,readWriteFile,1.0
491,rss-alert,rssFeedTrigger,slack,1.0
492,form-to-endpoint,webhook,httpRequest,1.0
493,morning-metrics,scheduleTrigger,googleSheets,1.0
494,email-archiver,emailReadImap,readWriteFile,1.0
495,rss-alert,rssFeedTrigger,slack,1.0
496,form-to-endpoint,webhook,httpRequest,1.0
497,morning-metrics,rssFeedTrigger,googleSheets,0.5
498,email-archiver,emailReadImap,readWriteFile,1.0
499,rss-alert,rssFeedTrigger,slack,1.0
500,form-to-endpoint,webhook,httpRequest,1.0
501,morning-metrics,scheduleTrigger,googleSheets,1.0
502,email-archiver,emailReadImap,readWriteFile,1.0
503,rss-alert,rssFeedTrigger,slack,1.0
504,form-to-endpoint,webhook,httpRequest,1.0
505,morning-metrics,scheduleTrigger,googleSheets,1.0
506,email-archiver,emailReadImap,readWriteFile,1.0
507,rss-alert,rssFeedTrigger,slack,1.0
508,form-to-endpoint,webhook,httpRequest,1.0
509,morning-metrics,emailReadImap,googleSheets,0.5
510,email-archiver,emailReadImap,readWriteFile,1.0
511,rss-alert,rssFeedTrigger,slack,1.0
512,form-to-endpoint,webhook,httpRequest,1.0
513,morning-metrics,scheduleTrigger,googleSheets,1.0
514,email-archiver,emailReadImap,readWriteFile,1.0
515,rss-alert,rssFeedTrigger,slack,1.0
516,form-to-endpoint,webhook,httpRequest,1.0
517,morning-metrics,scheduleTrigger,googleSheets,1.0
518,email-archiver,emailReadImap,readWriteFile,1.0
519,rss-alert,rssFeedTrigger,slack,1.0
520,form-to-endpoint,webhook,httpRequest,1.0
521,morning-metrics,scheduleTrigger,googleSheets,1.0
522,email-archiver,emailReadImap,readWriteFile,1.0
523,rss-alert,webhook,slack,0.5
524,form-to-endpoint,webhook,httpRequest,1.0
525,morning-metrics,scheduleTrigger,googleSheets,1.0
526,email-archiver,emailReadImap,readWriteFile,1.0
527,rss-alert,rssFeedTrigger,slack,1.0
528,form-to-endpoint,webhook,httpRequest,1.0
529,morning-metrics,scheduleTrigger,googleSheets,1.0
530,email-archiver,rssFeedTrigger,readWriteFile,0.5
531,rss-alert,rssFeedTrigger,slack,1.0
532,form-to-endpoint,webhook,httpRequest,1.0
533,morning-metrics,scheduleTrigger,googleSheets,1.0
534,email-archiver,emailReadImap,readWriteFile,1.0
535,rss-alert,rssFeedTrigger,slack,1.0
